# veth_bql_adversarial_sweep.sh 
tx_usecs,nrules,b_rtt_p50,b_rtt_p99,b_rtt_p999,b_lim_p50,b_lim_max,a_rtt_p50,a_rtt_p99,a_rtt_p999,a_lim_p50,a_lim_max,lim_max_ratio,rtt_p99_ratio,rtt_p999_ratio
10,0,0.053,0.507,2.11,48,48,0.032,0.904,1.14,48,48,1.00,1.78,0.54
10,1,0.037,0.770,1.98,48,48,0.040,1.00,2.02,48,48,1.00,1.30,1.02
10,10,0.056,0.746,1.51,40,46,0.046,0.517,1.02,47,48,1.04,0.69,0.68
10,100,0.093,0.208,1.04,19,21,0.099,0.425,0.998,47,48,2.29,2.04,0.96
10,1000,0.315,0.582,1.70,16,16,0.303,0.689,1.16,32,34,2.12,1.18,0.68
10,10000,2.47,3.88,5.05,16,16,2.39,5.21,8.70,32,34,2.12,1.34,1.72
50,0,0.059,0.963,2.04,216,216,0.030,0.281,1.97,208,216,1.00,0.29,0.97
50,1,0.054,1.00,2.11,198,208,0.035,0.985,2.23,200,208,1.00,0.98,1.06
50,10,0.037,0.777,1.99,175,176,0.042,0.776,1.38,192,208,1.18,1.00,0.69
50,100,0.171,0.986,3.73,80,80,0.181,0.530,2.10,176,191,2.39,0.54,0.56
50,1000,0.318,0.500,1.01,16,20,0.316,1.56,2.35,95,97,4.85,3.12,2.33
50,10000,2.56,4.06,7.55,16,16,2.53,5.39,8.32,32,34,2.12,1.33,1.10
100,0,0.056,0.576,1.01,408,424,0.043,0.532,1.95,400,416,0.98,0.92,1.93
100,1,0.056,0.292,1.66,400,408,0.030,0.962,1.86,400,408,1.00,3.29,1.12
100,10,0.056,0.291,1.58,336,346,0.056,0.527,1.59,376,391,1.13,1.81,1.01
100,100,0.260,0.362,1.02,144,144,0.248,0.531,1.66,344,360,2.50,1.47,1.63
100,1000,0.481,1.04,1.77,32,33,0.422,2.63,3.59,184,192,5.82,2.53,2.03
100,10000,2.46,3.92,5.10,16,16,2.35,5.25,5.80,32,33,2.06,1.34,1.14
500,0,0.028,0.269,1.01,1485,1896,0.040,0.266,1.48,1880,1896,1.00,0.99,1.47
500,1,0.031,0.789,1.89,1391,1864,0.038,0.944,1.93,1694,1864,1.00,1.20,1.02
500,10,0.063,0.335,1.58,1301,1424,0.055,0.492,1.14,1391,1424,1.00,1.47,0.72
500,100,0.433,0.745,2.10,600,661,0.386,0.997,1.67,632,1440,2.18,1.34,0.80
500,1000,1.05,1.64,2.25,96,104,0.867,3.09,3.45,446,800,7.69,1.88,1.53
500,10000,2.52,3.92,5.89,16,20,1.91,19.0,20.1,159,160,8.00,4.85,3.41
1000,0,0.026,0.302,2.01,2543,2810,0.035,0.277,1.22,2543,2810,1.00,0.92,0.61
1000,1,0.024,0.235,1.08,2398,2783,0.022,0.235,1.04,2398,2783,1.00,1.00,0.96
1000,10,0.049,0.247,0.998,2399,2796,0.022,0.230,1.00,2399,2796,1.00,0.93,1.00
1000,100,0.415,0.526,0.802,1240,1268,0.376,0.487,0.942,2320,2530,2.00,0.93,1.17
1000,1000,1.83,2.48,3.09,192,194,1.49,2.74,3.17,192,1523,7.85,1.10,1.03
1000,10000,4.05,5.41,6.84,32,32,3.26,25.4,26.7,280,312,9.75,4.70,3.90
