# veth_bql_adversarial_sweep.sh 
tx_usecs,nrules,b_rtt_p50,b_rtt_p99,b_rtt_p999,b_lim_p50,b_lim_max,a_rtt_p50,a_rtt_p99,a_rtt_p999,a_lim_p50,a_lim_max,lim_max_ratio,rtt_p99_ratio,rtt_p999_ratio
10,1,0.023,0.265,1.13,48,48,0.025,0.133,1.03,48,48,1.00,0.50,0.91
10,10,0.023,0.183,1.02,39,46,0.025,0.168,1.09,48,48,1.04,0.92,1.07
10,100,0.086,0.172,1.06,17,25,0.099,0.219,1.07,47,48,1.92,1.27,1.01
10,1000,0.299,0.619,1.65,16,16,0.383,0.682,1.54,32,33,2.06,1.10,0.93
10,10000,2.52,3.86,4.39,16,16,3.40,5.52,6.21,32,33,2.06,1.43,1.41
50,1,0.025,0.318,1.99,207,208,0.030,0.235,1.08,208,208,1.00,0.74,0.54
50,10,0.054,0.411,1.84,176,176,0.028,0.548,2.09,192,208,1.18,1.33,1.14
50,100,0.173,0.558,1.79,80,80,0.194,0.453,1.03,184,192,2.40,0.81,0.58
50,1000,0.313,0.630,1.69,16,20,1.12,1.55,2.65,95,96,4.80,2.46,1.57
50,10000,2.49,3.90,4.76,16,16,3.39,5.53,6.54,32,40,2.50,1.42,1.37
100,1,0.020,0.227,0.989,408,408,0.022,0.225,1.00,408,408,1.00,0.99,1.01
100,10,0.030,0.326,2.10,336,352,0.042,0.354,1.44,384,393,1.12,1.09,0.69
100,100,0.257,0.493,1.90,144,144,0.271,0.575,1.25,344,360,2.50,1.17,0.66
100,1000,0.481,0.691,1.27,32,33,0.504,2.65,3.02,191,192,5.82,3.84,2.38
100,10000,2.56,4.04,5.42,16,16,3.41,5.60,7.15,32,40,2.50,1.39,1.32
500,1,0.029,0.459,2.00,1295,1880,0.026,0.482,1.74,1295,1840,0.98,1.05,0.87
500,10,0.028,0.320,1.72,1277,1468,0.057,0.551,1.69,1252,1419,0.97,1.72,0.98
500,100,0.428,0.650,1.56,592,654,0.380,0.621,1.41,624,1527,2.33,0.96,0.90
500,1000,1.06,1.51,2.45,96,104,1.01,3.15,3.42,368,796,7.65,2.09,1.40
500,10000,2.54,3.92,4.72,16,17,2.33,19.6,21.2,159,160,9.41,5.00,4.49
1000,1,0.026,0.288,1.22,2914,3600,0.032,0.284,1.20,2914,3600,1.00,0.99,0.98
1000,10,0.032,1.66,3.09,2752,3152,0.029,0.297,2.01,2752,3152,1.00,0.18,0.65
1000,100,0.420,0.808,2.35,1176,1274,0.388,0.549,1.04,2354,2888,2.27,0.68,0.44
1000,1000,1.83,2.49,3.49,192,200,1.57,2.75,3.02,192,1545,7.72,1.10,0.87
1000,10000,4.05,5.64,7.33,32,32,3.76,25.7,28.2,280,1624,50.75,4.56,3.85
