# veth_bql_adversarial_sweep.sh 
tx_usecs,nrules,b_rtt_p50,b_rtt_p99,b_rtt_p999,b_lim_p50,b_lim_max,a_rtt_p50,a_rtt_p99,a_rtt_p999,a_lim_p50,a_lim_max,lim_max_ratio,rtt_p99_ratio,rtt_p999_ratio
10,1,0.073,0.393,1.54,34,39,0.082,0.156,1.18,76,88,2.26,0.40,0.77
10,10,0.077,0.135,1.03,32,32,0.098,0.178,1.01,86,93,2.91,1.32,0.98
10,100,0.086,0.120,0.246,16,20,0.151,0.248,0.980,94,100,5.00,2.07,3.98
10,1000,0.296,0.442,0.996,16,16,0.320,1.31,1.44,88,93,5.81,2.96,1.45
10,10000,2.42,3.76,4.66,16,16,2.63,10.5,11.1,81,87,5.44,2.79,2.38
50,1,0.131,0.193,0.977,172,176,0.132,0.245,0.982,253,442,2.51,1.27,1.01
50,10,0.143,0.181,0.980,146,152,0.175,0.275,0.947,308,412,2.71,1.52,0.97
50,100,0.150,0.200,1.03,64,65,0.269,0.540,0.944,380,390,6.00,2.70,0.92
50,1000,0.295,0.456,1.24,16,20,1.43,1.83,2.18,128,152,7.60,4.01,1.76
50,10000,2.42,3.72,4.05,16,16,3.10,14.9,15.7,128,132,8.25,4.01,3.88
100,1,0.197,0.249,1.00,335,340,0.169,0.253,0.951,476,797,2.34,1.02,0.95
100,10,0.219,0.273,0.641,288,302,0.216,0.294,0.999,470,768,2.54,1.08,1.56
100,100,0.234,0.297,0.523,128,128,0.272,0.508,1.04,504,651,5.09,1.71,1.99
100,1000,0.461,0.618,0.918,32,32,0.525,2.97,3.32,256,265,8.28,4.81,3.62
100,10000,2.41,3.70,4.34,16,16,2.94,14.9,16.0,128,130,8.12,4.03,3.69
500,1,0.209,0.253,0.945,1259,1359,0.201,0.255,0.987,2167,2211,1.63,1.01,1.04
500,10,0.238,0.304,0.595,1112,1202,0.227,0.296,0.984,1991,2348,1.95,0.97,1.65
500,100,0.446,0.560,0.686,568,616,0.419,0.524,0.995,1468,2296,3.73,0.94,1.45
500,1000,0.992,1.36,1.62,96,96,0.932,2.88,3.20,106,1153,12.01,2.12,1.98
500,10000,2.40,3.65,4.24,16,17,2.26,25.5,26.6,256,260,15.29,6.99,6.27
1000,1,0.212,0.256,1.01,2564,2759,0.203,0.254,0.994,2759,4551,1.65,0.99,0.98
1000,10,0.230,0.280,0.673,2556,2632,0.229,0.278,0.922,4051,4536,1.72,0.99,1.37
1000,100,0.443,0.555,1.07,1091,1110,0.424,0.517,0.989,2222,4235,3.82,0.93,0.92
1000,1000,1.83,2.45,3.00,192,192,1.59,2.73,3.07,192,2176,11.33,1.11,1.02
1000,10000,4.02,5.41,6.02,32,32,3.87,25.6,26.9,384,384,12.00,4.73,4.47
